,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,VG_nan
657,1,23.5,28.3,20.6,1021.3,74,0.0,16.1,11.1,20.6,42.4,0,0,0,0,1
1215,1,14.0,22.8,7.2,1021.2,78,0.0,15.3,9.8,25.9,37.0,1,0,0,1,0
849,1,21.6,25.0,14.4,1009.3,86,2.54,15.3,17.2,25.9,40.7,1,0,1,0,0
434,1,24.0,31.1,17.8,1011.3,47,0.0,16.1,25.7,37.0,50.0,0,0,0,0,0
1091,1,10.2,20.0,-3.9,1020.4,45,0.0,16.1,18.1,37.0,53.5,0,0,0,0,0
907,1,10.7,18.9,5.6,1016.3,24,1.02,16.1,26.1,38.9,55.4,0,0,0,0,0
1019,1,17.7,22.2,17.2,1019.2,84,3.3,15.0,23.2,27.8,42.4,1,0,0,0,0
445,1,16.4,19.4,12.2,1018.9,65,0.25,16.1,11.5,20.6,42.4,0,0,0,0,1
1148,1,21.7,26.7,17.2,1015.6,84,2.03,15.9,5.0,16.5,42.4,0,0,0,1,1
1024,1,18.8,22.8,15.0,1010.4,89,6.1,10.3,17.4,35.2,48.2,1,0,0,0,0
154,1,13.7,23.3,5.0,1017.1,55,0.0,16.1,6.5,14.8,42.4,0,0,0,0,1
415,1,9.1,10.0,8.0,1014.5,72,9.91,12.1,28.3,38.9,50.0,1,0,0,0,0
305,1,28.0,32.2,23.9,1015.7,67,0.25,16.1,10.7,22.2,31.7,0,0,0,0,0
14,1,8.7,16.7,4.4,1010.3,51,0.0,16.1,22.4,40.7,51.9,0,0,0,0,0
1039,1,7.9,10.0,6.1,1009.9,90,0.0,13.7,6.9,16.5,42.4,1,0,0,0,1
1033,1,9.4,22.2,3.3,1024.6,81,0.25,16.1,3.9,20.6,42.4,1,0,0,0,1
1157,1,27.6,30.6,24.4,1012.8,77,0.0,16.1,17.4,27.8,40.7,0,0,0,0,0
747,1,10.7,23.3,6.1,1018.6,83,0.0,16.1,11.7,22.2,25.9,0,0,0,0,0
409,1,18.2,27.2,12.8,1022.5,34,0.0,16.1,16.7,25.9,42.4,0,0,0,0,1
163,1,6.5,12.8,5.0,1019.5,62,2.03,15.0,24.4,33.5,46.5,1,0,0,0,0
802,1,25.6,28.9,22.8,1017.9,64,42.67,16.1,7.0,16.5,42.4,1,0,0,0,1
234,1,10.9,22.8,1.7,1016.6,48,0.0,16.1,22.4,33.5,51.9,1,0,0,0,0
1236,1,18.3,22.8,15.0,1017.1,71,1.02,16.1,13.5,20.6,42.4,1,0,0,0,1
845,1,9.3,15.0,4.4,1022.4,63,0.0,16.1,9.4,20.6,42.4,0,0,0,0,1
950,1,26.2,31.7,18.3,1014.3,62,0.0,16.1,20.7,31.7,37.0,0,0,0,0,0
462,1,25.2,31.7,23.3,1018.6,73,0.25,15.9,15.7,27.8,40.7,0,0,0,0,0
236,1,21.4,28.9,16.1,1016.7,55,0.0,16.1,31.9,44.6,61.1,0,0,0,0,0
568,1,6.3,17.2,2.2,1017.8,78,1.02,16.1,8.3,13.0,42.4,0,0,0,0,1
361,0,9.3,15.0,3.9,1023.3,81,0.0,8.9,3.1,13.0,42.4,1,0,0,0,1
827,1,25.1,31.7,22.2,1011.5,81,2.29,15.3,17.6,25.9,38.9,1,0,0,0,0
667,1,22.6,25.6,21.7,1011.3,81,0.0,15.3,28.0,44.6,64.8,1,0,0,0,0
877,1,3.8,11.7,-2.8,1034.1,81,0.0,16.1,9.3,24.1,33.5,0,0,0,0,0
707,1,4.5,12.2,-5.0,1020.7,38,0.0,16.1,10.4,20.6,42.4,0,0,0,0,1
944,1,20.1,27.2,11.1,1020.9,71,0.25,16.1,10.2,20.6,42.4,0,0,0,0,1
1044,1,12.8,16.1,10.6,1015.9,81,2.29,15.4,13.9,27.8,44.6,1,0,0,0,0
1169,0,28.4,34.4,23.9,1014.5,73,3.05,15.8,15.4,27.8,38.9,1,0,0,0,0
1135,1,18.2,24.4,15.0,1021.5,92,0.51,6.6,9.6,22.2,42.4,1,0,0,1,1
695,1,1.8,7.2,-1.7,1030.7,37,0.0,16.1,9.1,24.1,35.2,0,0,0,0,0
744,1,9.4,12.2,6.7,1024.4,60,0.51,16.1,18.1,31.7,50.0,0,0,0,0,0
227,1,6.5,12.2,2.8,1025.6,44,0.0,16.1,8.1,18.3,42.4,1,0,0,0,1
641,0,21.7,27.2,20.6,1014.3,87,0.0,12.9,9.4,18.3,42.4,0,0,0,0,1
441,1,18.5,29.4,11.1,1017.6,55,0.0,16.1,8.0,22.2,42.4,0,0,0,0,1
1106,1,7.7,10.6,5.0,1005.9,78,32.26,11.9,30.2,38.9,59.4,1,0,0,0,0
861,1,12.2,18.9,4.4,1007.8,82,0.0,15.1,15.6,31.7,50.0,1,0,0,0,0
1093,1,6.6,10.0,3.3,1021.3,62,7.37,16.1,27.8,42.4,70.6,1,0,0,0,0
298,1,28.2,34.4,22.8,1012.7,69,0.0,15.9,13.0,24.1,33.5,0,0,0,0,0
484,1,30.4,35.6,27.2,1011.7,61,0.0,16.1,12.0,20.6,42.4,0,0,0,0,1
257,1,16.2,22.8,10.0,1026.8,63,0.0,16.1,7.4,20.6,25.9,0,0,0,0,0
902,1,6.3,12.8,-1.1,1018.8,44,0.0,16.1,10.9,20.6,42.4,0,0,0,0,1
76,1,26.3,32.2,16.7,1015.8,60,0.0,16.1,18.7,27.8,35.2,0,0,0,0,0
949,0,24.0,30.0,18.9,1017.1,80,0.0,14.0,12.0,22.2,42.4,0,0,0,0,1
936,1,15.1,21.7,10.6,1014.3,65,19.3,16.1,11.9,24.1,37.0,0,0,0,0,0
613,1,11.9,17.2,5.6,1027.7,66,0.0,16.1,9.1,18.3,29.4,0,0,0,0,0
448,1,24.2,31.7,13.9,1020.4,53,0.0,16.1,10.0,20.6,42.4,0,0,0,0,1
109,1,23.4,28.3,17.2,1021.0,77,0.0,15.3,10.6,24.1,37.0,1,0,0,0,0
461,0,28.0,33.9,17.8,1014.7,49,0.0,15.8,22.0,38.9,46.5,0,0,0,0,0
859,1,7.0,12.2,0.6,1021.3,62,0.0,16.1,10.0,18.3,42.4,0,0,0,0,1
